model,MAE,RMSE,MAPE,R2
VARX,0.0049724295475226015,0.02059086244142987,0.10809629451136094,0.0
Prophet,0.01780701494592818,0.023506436716651882,0.38710902056365604,0.0
XGBoost,0.03078457117080724,0.04411260470206641,0.669229808061027,0.0
SeasonalNaive,0.050000000000000266,0.07071067811865513,1.0869565217391362,0.0
LSTM,0.21504977146784432,0.25479656244276416,4.67499503190966,0.0
TCN,0.26205341815948496,0.32481365008299445,5.696813438249674,0.0
SARIMAX,1.0315839419727901,4.912380546156141,22.425737868973698,0.0
