Model,MAE,RMSE,R2,Tier
ElasticNet,0.006168832679053882,0.020433414195315556,0.7773203116387633,Champion
Ensemble,0.006310094254486957,0.020261661500995013,0.7810480390501872,Challenger
XGBoost,0.006724082880343023,0.02015832670001394,0.7832756611496051,Challenger
SARIMAX,0.026227980714916426,0.03423629904349626,0.3748671081622985,Rejected
VARX,0.029951303185634066,0.04133605998600283,0.08870941057791681,Rejected
Prophet,0.03174852786508068,0.03894290757939701,0.19117330627336515,Rejected
SeasonalNaive,0.06250000000000022,0.07905694150420976,-2.3333333333333215,Rejected
