mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_max_depth,param_learning_rate,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.8007360299428304,0.014954706015108335,0.002867619196573893,0.0003333930889374711,0.9,1.0,0.5,700,5,0.2,1.0,"{'subsample': 0.9, 'reg_lambda': 1.0, 'reg_alpha': 0.5, 'n_estimators': 700, 'max_depth': 5, 'learning_rate': 0.2, 'colsample_bytree': 1.0}",-0.013690476407784799,-0.006984127037936716,-0.009523809523809532,-0.010066137656510349,0.0027645819841047112,2,-0.007986111310310684,-0.008790123508208344,-0.006060606060606066,-0.007612280293041698,0.0011452448344627993
0.6935273806254069,0.024380659978044394,0.0029141108194986978,0.0010317724508431307,1.0,0.5,1.0,200,6,0.2,0.8,"{'subsample': 1.0, 'reg_lambda': 0.5, 'reg_alpha': 1.0, 'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.2, 'colsample_bytree': 0.8}",-0.013690476407784799,-0.006984127037936716,-0.009523809523809532,-0.010066137656510349,0.0027645819841047112,2,-0.007986111310310684,-0.008790123508208344,-0.006060606060606066,-0.007612280293041698,0.0011452448344627993
0.7415276368459066,0.05369299252288979,0.0034437974294026694,0.000548939689318603,0.7,5.0,0.1,500,4,0.01,0.6,"{'subsample': 0.7, 'reg_lambda': 5.0, 'reg_alpha': 0.1, 'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.01, 'colsample_bytree': 0.6}",-0.013690476407784799,-0.006261433582195795,-0.011411815408930479,-0.010454575132970358,0.0031075071504931425,47,-0.007986111310310684,-0.005960118048880977,-0.005153256598758608,-0.006366495319316756,0.001191672023848795
0.7710873285929362,0.031041694572515904,0.003432671229044596,0.00016736738964528264,0.9,5.0,0.0,700,3,0.1,0.6,"{'subsample': 0.9, 'reg_lambda': 5.0, 'reg_alpha': 0.0, 'n_estimators': 700, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.6}",-0.04247674125557145,-0.01869566984505147,-0.014827081689621827,-0.025333164263414917,0.012224788141138528,72,-0.00031178386854361734,-0.00026500552194800913,-0.00023210109599831674,-0.0002696301621633144,3.269430667019659e-05
0.09617749849955241,0.02885999000614909,0.0022325515747070312,0.0002664389936698394,1.0,1.0,0.0,300,4,0.1,1.0,"{'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.0, 'n_estimators': 300, 'max_depth': 4, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",-0.03776433258684674,-0.032809163089846785,-0.014234110856497353,-0.028269202177730293,0.010128384783452586,77,-0.0001082841761066063,-8.203841124164847e-05,-8.336785118776086e-05,-9.123014617867186e-05,1.2071227643443233e-05
0.04145622253417969,0.010172372456722355,0.0020031134287516275,9.589769709877198e-05,0.7,5.0,1.0,200,4,0.05,0.8,"{'subsample': 0.7, 'reg_lambda': 5.0, 'reg_alpha': 1.0, 'n_estimators': 200, 'max_depth': 4, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",-0.013690476407784799,-0.006984127037936716,-0.009523809523809532,-0.010066137656510349,0.0027645819841047112,2,-0.007986111310310684,-0.008790123508208344,-0.006060606060606066,-0.007612280293041698,0.0011452448344627993
0.06374319394429524,0.011615302201181572,0.001885811487833659,0.0002277506363525623,0.7,1.0,0.1,200,2,0.05,0.8,"{'subsample': 0.7, 'reg_lambda': 1.0, 'reg_alpha': 0.1, 'n_estimators': 200, 'max_depth': 2, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",-0.013690476407784799,-0.006425182488982527,-0.012982012699302738,-0.011032557198690021,0.0032707192372420884,55,-0.007986111310310684,-0.0049198255684395065,-0.004316492837273422,-0.005740809905341204,0.0016066603863278059
0.0250552495320638,0.00012217524814715316,0.0017782847086588542,0.0001230840901700052,0.9,1.0,0.5,100,6,0.1,1.0,"{'subsample': 0.9, 'reg_lambda': 1.0, 'reg_alpha': 0.5, 'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",-0.013690476407784799,-0.006984127037936716,-0.009523809523809532,-0.010066137656510349,0.0027645819841047112,2,-0.007986111310310684,-0.008790123508208344,-0.006060606060606066,-0.007612280293041698,0.0011452448344627993
0.06086548169453939,0.010385263319522423,0.0024685064951578775,0.00035639722446215253,0.8,2.0,1.0,300,6,0.1,0.6,"{'subsample': 0.8, 'reg_lambda': 2.0, 'reg_alpha': 1.0, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.1, 'colsample_bytree': 0.6}",-0.013690476407784799,-0.006984127037936716,-0.009523809523809532,-0.010066137656510349,0.0027645819841047112,2,-0.007986111310310684,-0.008790123508208344,-0.006060606060606066,-0.007612280293041698,0.0011452448344627993
0.23302952448527017,0.11955070167596121,0.002684911092122396,0.0008737122944446051,0.9,0.5,0.1,500,4,0.01,1.0,"{'subsample': 0.9, 'reg_lambda': 0.5, 'reg_alpha': 0.1, 'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.01, 'colsample_bytree': 1.0}",-0.013690476407784799,-0.005211219590412259,-0.012704819140240691,-0.010535505046145916,0.003786281533190434,49,-0.007986111310310684,-0.00471334985304163,-0.0034523689888759966,-0.005383943384076103,0.001910667705662248
