feature,importance
Unemployment Rate (%)_lag_1,0.48864970447763567
GDP_growth,0.18389299174156545
log_oil_brent_std_6,0.07271326047837012
BaseRate_lag_12,0.024894287541071192
fuel92_yoy,0.022834595207413367
BaseRate_lag_6,0.019926750841683275
total_cpi_yoy_y,0.016656525615326722
total_cpi_yoy_x,0.01618147151362982
Unemployment Rate (%)_lag_2,0.015340572621943004
POILBREUSDM,0.01481552893315407
gold_price_usd_avg,0.009959053198610544
gdp_stei,0.008956125118396488
M2_monetary_base,0.008370148529900399
Oil_crude_brent,0.007559396740930473
PPI_yoy,0.0068446939322666525
RUB_Kzt,0.0064168420003365804
BaseRate_lag_3,0.00604930950704075
log_oil_brent_std_3,0.005951124165568719
log_oil_brent_ma_6,0.005816068358983401
Unemployment Rate (%)_lag_6,0.004585660644328079
real_wage_index,0.004452132081215882
log_usd_kzt_std_6,0.0034670720898908455
log_gold_price,0.0031579772478700537
log_usd_kzt_lag_1,0.002716426312551287
log_usd_kzt_std_3,0.002673593267760646
log_import,0.0024915067430289766
BaseRate_lag_1,0.0023041166037699196
log_oil_brent_ma_3,0.002218997325605854
log_oil_brent_lag_1,0.0021850437700251073
USD_KZT,0.002081913869400458
Unemployment Rate (%)_lag_3,0.0017997047268264836
interest_rate_x,0.001647558495572347
interest_rate_y,0.0016400399871383965
usd_kzt,0.0015986801584105047
log_export,0.0015319467924237167
log_oil_brent,0.0015081180175292256
log_usd_kzt_lag_6,0.0013667899305956483
BaseRate,0.0013073106211680212
log_oil_brent_lag_2,0.001144834186440357
log_usd_kzt,0.001127712613328607
BaseRate_lag_2,0.0010961629229212816
log_usd_kzt_lag_3,0.001011301660701624
fourier_cos_2,0.0009791960519343044
log_sugar_price,0.0008940416663858876
break_2022_01,0.000787665639870911
wheat_growth,0.0006981315624205115
fourier_sin_1,0.0005979285726857603
break_2020_03,0.000560446983165453
fourier_cos_1,0.0004969626166683516
interaction_doil_dusd,0.0004901387416734867
M2_yoy,0.0004574304962183441
log_wheat_price,0.0004105993813516954
log_oil_brent_lag_12,0.00032302811499044886
russian_cpi,0.0003191615297037181
real_wage_yoy_pct,0.000297653360573833
log_oil_brent_lag_6,0.0002702031085140631
log_rub_kzt,0.000268444454673706
log_usd_kzt_ma_6,0.0002167199100557547
Unemployment Rate (%)_lag_12,0.00020721572763250648
log_oil_brent_lag_3,0.00018431713419821125
cpi_russia,0.00014443362190155759
log_usd_kzt_ma_3,8.928702693118837e-05
fourier_sin_3,8.818875525483253e-05
fourier_sin_2,8.429522989750578e-05
log_usd_kzt_lag_12,8.26012575054996e-05
fourier_cos_3,5.0782753278220585e-05
is_q1,3.147353362100875e-05
log_usd_kzt_lag_2,2.6602176556298573e-05
nominal_wage_yoy_pct,2.675590932944247e-15
is_q4,2.570948332701093e-15
is_january,1.6492810735291038e-15
break_2015_08,0.0
